TESTV1 = ['Ankle21', 'Ankle23', 'Elbow04', 'Wrist11', 'Wrist12', 'Wrist13', 'Spine06', 'Spine07', 'Ankle19', 'Wrist08', 'Wrist09', 'Wrist10'] # Adapted testset

Testing DataLoader 0: 100%|██████████| 3600/3600 [11:38<00:00,  5.15it/s]
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
             Test metric                         DataLoader 0
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 test_cardinality_error_enc_0_epoch           0.16430555284023285
 test_cardinality_error_enc_1_epoch           0.07111111283302307
 test_cardinality_error_enc_2_epoch           0.04444444552063942
 test_cardinality_error_enc_3_epoch           0.04458333179354668
 test_cardinality_error_enc_4_epoch          0.042222220450639725
  test_cardinality_error_enc_epoch            0.04027777910232544
    test_cardinality_error_epoch              0.09416666626930237
     test_class_precision_epoch                       0.0
 test_corr_mask_attn_map_dec_0_epoch         0.034230709075927734
 test_corr_mask_attn_map_dec_1_epoch          0.48374414443969727
 test_corr_mask_attn_map_dec_2_epoch          0.8499307632446289
 test_corr_mask_attn_map_dec_3_epoch          0.9995534420013428
test_corr_mask_attn_map_dec_all_epoch          0.514074444770813
      test_loss_ce_enc_0_epoch                0.0653657615184784
      test_loss_ce_enc_1_epoch                0.03379461169242859
      test_loss_ce_enc_2_epoch               0.024013586342334747
      test_loss_ce_enc_3_epoch               0.025629403069615364
      test_loss_ce_enc_4_epoch                0.02631288580596447
       test_loss_ce_enc_epoch                0.028408406302332878
         test_loss_ce_epoch                   0.05825226381421089
           test_loss_epoch                    3.8217406272888184
   test_loss_mask_prediction_epoch            0.2249491810798645
  test_loss_screw_angle_enc_0_epoch            6.023334503173828
  test_loss_screw_angle_enc_1_epoch            4.100258827209473
  test_loss_screw_angle_enc_2_epoch            3.050741195678711
  test_loss_screw_angle_enc_3_epoch            2.52359938621521
  test_loss_screw_angle_enc_4_epoch           2.2167999744415283
   test_loss_screw_angle_enc_epoch             2.427842617034912
     test_loss_screw_angle_epoch              1.1077696084976196
  test_loss_screw_head_enc_0_epoch             4.820607662200928
  test_loss_screw_head_enc_1_epoch             4.154507160186768
  test_loss_screw_head_enc_2_epoch            3.8561644554138184
  test_loss_screw_head_enc_3_epoch            3.5908687114715576
  test_loss_screw_head_enc_4_epoch             3.279384136199951
   test_loss_screw_head_enc_epoch             3.4091901779174805
     test_loss_screw_head_epoch               3.6217825412750244
test_loss_screw_midpoint_enc_0_epoch          25.710412979125977
test_loss_screw_midpoint_enc_1_epoch          19.088279724121094
test_loss_screw_midpoint_enc_2_epoch          14.439959526062012
test_loss_screw_midpoint_enc_3_epoch          12.283744812011719
test_loss_screw_midpoint_enc_4_epoch          10.696252822875977
 test_loss_screw_midpoint_enc_epoch           10.231857299804688
   test_loss_screw_midpoint_epoch             3.5159993171691895
   test_loss_screw_tip_enc_0_epoch             52.17285919189453
   test_loss_screw_tip_enc_1_epoch             38.66423797607422
   test_loss_screw_tip_enc_2_epoch            29.230812072753906
   test_loss_screw_tip_enc_3_epoch            24.528905868530273
   test_loss_screw_tip_enc_4_epoch             21.31060791015625
    test_loss_screw_tip_enc_epoch             20.172443389892578
      test_loss_screw_tip_epoch                6.38117790222168
    test_precision_angle_10_epoch             0.9668518304824829
    test_precision_angle_1_epoch              0.8615696430206299
    test_precision_angle_2_epoch              0.9344262480735779
    test_precision_angle_3_epoch              0.9490185379981995
    test_precision_angle_4_epoch              0.9566666483879089
    test_precision_angle_5_epoch              0.9598379135131836
    test_precision_angle_6_epoch               0.962013840675354
    test_precision_angle_7_epoch              0.9637037515640259
